Date,Open,High,Low,Close,Adj Close,Volume
2020-02-21,108.940002,110.300003,108.000000,109.089996,106.674301,687400
2020-02-24,113.580002,113.699997,109.199997,110.180000,107.740181,755900
2020-02-25,107.959999,110.559998,107.330002,107.339996,104.963081,727500
2020-02-26,106.820000,108.430000,106.300003,107.199997,104.826172,805500
2020-02-27,108.000000,108.339996,101.680000,101.730003,99.477303,1301900
2020-02-28,97.599998,99.370003,91.760002,96.470001,94.333771,1576200
2020-03-02,97.279999,100.680000,96.570000,100.050003,97.834488,852000
2020-03-03,101.510002,106.220001,100.470001,103.110001,100.826729,731400
2020-03-04,104.449997,105.000000,101.739998,104.120003,101.814384,509800
2020-03-05,105.070000,107.019997,104.699997,106.589996,104.229691,654600
2020-03-06,107.000000,107.320000,100.889999,104.639999,102.322853,823600
2020-03-09,101.070000,103.800003,98.470001,98.839996,96.651291,692600
2020-03-10,99.419998,101.849998,95.559998,97.360001,95.204071,1083200
2020-03-11,95.389999,96.730003,86.959999,88.019997,86.070892,1617300
2020-03-12,75.599998,84.639999,72.820000,80.889999,79.098770,1741500
2020-03-13,83.300003,83.570000,71.089996,71.769997,70.180733,1248800
2020-03-16,62.099998,84.620003,59.779999,81.430000,79.626808,1512200
2020-03-17,79.699997,90.300003,79.230003,88.629997,86.667389,1368500
2020-03-18,85.519997,88.830002,68.180000,69.639999,68.097893,1130600
2020-03-19,70.290001,84.449997,65.459999,74.410004,72.762268,1358300
2020-03-20,75.820000,77.669998,71.120003,71.620003,70.034058,1204300
2020-03-23,74.940002,81.449997,72.500000,76.970001,75.265579,748700
2020-03-24,87.250000,97.959999,82.870003,95.349998,93.238571,1279500
2020-03-25,96.480003,98.000000,89.129997,93.120003,91.057953,1020800
2020-03-26,93.019997,95.389999,87.480003,92.480003,90.432137,994700
2020-03-27,90.139999,93.699997,88.190002,90.559998,88.554626,779600
2020-03-30,91.070000,96.860001,88.290001,91.680000,89.649849,819000
2020-03-31,89.959999,91.000000,86.650002,87.709999,85.767754,853100
2020-04-01,87.099998,92.510002,86.269997,91.330002,89.307602,845600
2020-04-02,92.129997,94.559998,90.099998,92.779999,91.004486,708400
2020-04-03,92.849998,97.589996,92.620003,93.500000,91.710709,676200
2020-04-06,95.230003,96.959999,93.050003,94.800003,92.985832,665000
2020-04-07,94.750000,97.620003,91.099998,93.910004,92.112869,579400
2020-04-08,94.830002,95.989998,92.930000,94.889999,93.074112,498100
2020-04-09,96.410004,105.379997,96.410004,105.040001,103.029884,934000
2020-04-13,105.000000,106.419998,100.019997,105.019997,103.010262,718700
2020-04-14,106.540001,109.160004,103.070000,105.209999,103.196617,883500
2020-04-15,102.870003,105.989998,100.650002,104.809998,102.804268,851900
2020-04-16,106.169998,111.879997,105.260002,111.730003,109.591850,681300
2020-04-17,108.440002,110.830002,106.959999,107.809998,105.746872,1166900
2020-04-20,109.650002,112.690002,108.180000,111.599998,109.464333,809300
2020-04-21,108.900002,112.989998,107.419998,109.209999,107.120064,690900
2020-04-22,113.349998,117.440002,111.809998,116.660004,114.427498,717100
2020-04-23,120.540001,126.699997,119.830002,122.970001,120.616745,1090300
2020-04-24,124.589996,127.000000,122.629997,125.430000,123.029671,972900
2020-04-27,125.989998,127.889999,123.110001,126.339996,123.922264,793700
2020-04-28,124.910004,127.339996,123.209999,125.930000,123.520103,654000
2020-04-29,126.080002,131.089996,124.169998,130.399994,127.904564,946400
2020-04-30,128.399994,130.000000,122.379997,122.529999,120.185165,814400
2020-05-01,120.029999,126.029999,118.500000,125.860001,123.451447,853900
2020-05-04,128.660004,129.929993,124.870003,125.209999,122.813881,745600
2020-05-05,125.300003,129.750000,123.599998,128.440002,125.982071,462600
2020-05-06,126.519997,129.130005,125.330002,126.620003,124.196899,559700
2020-05-07,128.729996,137.899994,128.009995,135.970001,133.367981,1043600
2020-05-08,136.190002,138.539993,135.240005,136.429993,133.819153,721900
2020-05-11,136.250000,137.389999,130.509995,132.839996,130.297852,612100
2020-05-12,133.190002,135.899994,128.809998,128.809998,126.344994,732400
2020-05-13,130.699997,131.520004,125.349998,128.190002,125.736855,636500
2020-05-14,127.709999,132.320007,127.690002,129.179993,126.707893,580700
2020-05-15,132.910004,134.429993,130.850006,134.000000,131.435669,1067600
2020-05-18,135.589996,136.759995,132.000000,134.279999,131.710327,630500
2020-05-19,136.289993,139.160004,136.000000,137.080002,134.456711,480100
2020-05-20,138.119995,139.630005,135.880005,135.990005,133.387589,533300
2020-05-21,134.669998,136.940002,130.479996,136.729996,134.113419,673900
2020-05-22,136.289993,138.690002,134.910004,136.960007,134.339020,659800
2020-05-26,135.990005,136.490005,131.729996,132.460007,129.925140,450500
2020-05-27,128.850006,133.509995,126.000000,132.610001,130.072266,746900
2020-05-28,133.979996,135.190002,130.350006,131.660004,129.140457,507800
2020-05-29,136.720001,136.720001,132.729996,133.199997,130.650986,963000
2020-06-01,133.850006,135.320007,132.119995,135.110001,132.524414,367800
2020-06-02,134.949997,135.000000,130.149994,130.470001,127.973213,438500
2020-06-03,127.320000,128.179993,124.389999,125.860001,123.451447,717300
2020-06-04,126.519997,128.979996,125.349998,126.190002,123.775131,597100
2020-06-05,122.199997,124.040001,119.739998,122.519997,120.175354,488100
2020-06-08,124.910004,124.989998,120.550003,122.230003,119.890923,465500
2020-06-09,124.110001,124.349998,122.000000,122.250000,119.910538,543700
2020-06-10,124.290001,128.690002,120.629997,128.309998,125.854561,639800
2020-06-11,127.430000,129.880005,120.809998,122.190002,119.851677,608800
2020-06-12,124.169998,125.980003,119.739998,120.349998,118.046875,419900
2020-06-15,116.870003,121.360001,113.349998,121.010002,118.694260,642800
2020-06-16,121.169998,121.879997,116.830002,117.239998,114.996407,430600
2020-06-17,117.220001,118.500000,114.580002,115.570000,113.358368,505800
2020-06-18,114.459999,116.059998,112.129997,112.339996,110.190178,555700
2020-06-19,113.809998,116.800003,113.430000,115.010002,112.809082,768900
2020-06-22,117.269997,119.949997,116.580002,118.250000,115.987083,506500
2020-06-23,120.000000,121.120003,119.199997,119.580002,117.291626,619100
2020-06-24,119.330002,120.790001,116.230003,118.370003,116.104782,532600
2020-06-25,118.550003,119.190002,116.680000,119.129997,116.850227,323600
2020-06-26,118.370003,119.349998,116.330002,117.500000,115.251434,1103200
2020-06-29,118.279999,120.459999,117.019997,120.330002,118.027267,316600
2020-06-30,120.180000,124.839996,119.440002,124.320000,121.940903,534600
2020-07-01,123.720001,123.800003,119.669998,123.410004,121.321587,393400
2020-07-02,122.269997,124.330002,120.839996,121.050003,119.001518,337100
2020-07-06,123.910004,124.589996,121.209999,122.540001,120.466293,365800
2020-07-07,121.430000,125.169998,121.430000,124.870003,122.756882,844600
2020-07-08,126.910004,127.989998,124.089996,126.750000,124.605057,535100
2020-07-09,127.389999,128.259995,123.269997,126.300003,124.162682,427700
2020-07-10,126.940002,128.289993,125.720001,127.629997,125.470161,548200
2020-07-13,128.509995,129.449997,120.809998,121.139999,119.089989,547700
2020-07-14,120.889999,125.910004,120.540001,125.900002,123.769447,420400
2020-07-15,126.089996,127.199997,123.309998,126.949997,124.801666,394000
2020-07-16,126.940002,127.169998,124.089996,124.940002,122.825699,298400
2020-07-17,126.500000,130.289993,125.800003,129.940002,127.741081,478800
2020-07-20,130.039993,134.710007,130.039993,132.830002,130.582169,390800
2020-07-21,135.000000,136.809998,131.839996,132.479996,130.238068,458700
2020-07-22,134.020004,134.690002,131.809998,134.660004,132.381210,334000
2020-07-23,134.660004,135.800003,130.130005,134.199997,131.928986,602100
2020-07-24,135.330002,138.669998,134.990005,136.250000,133.944305,413300
2020-07-27,140.979996,144.750000,139.110001,140.710007,138.328827,455700
2020-07-28,138.679993,141.369995,137.100006,140.190002,137.817612,432000
2020-07-29,141.240005,141.889999,138.119995,139.949997,137.581680,379500
2020-07-30,136.429993,138.399994,135.210007,136.539993,134.229370,352000
2020-07-31,138.360001,140.339996,137.429993,139.929993,137.562027,458400
2020-08-03,140.130005,141.139999,137.139999,140.410004,138.033905,393600
2020-08-04,140.050003,143.949997,139.009995,143.490005,141.061768,561300
2020-08-05,145.979996,147.639999,143.250000,145.330002,142.870636,568400
2020-08-06,146.369995,146.990005,140.770004,142.800003,140.383453,425200
2020-08-07,140.050003,140.610001,137.369995,139.190002,136.834564,497000
2020-08-10,141.240005,142.500000,137.059998,137.520004,135.192810,319700
2020-08-11,132.470001,134.339996,129.369995,130.179993,127.977020,652400
2020-08-12,132.940002,133.649994,129.240005,129.770004,127.573959,503500
2020-08-13,131.289993,134.419998,130.990005,132.919998,130.670624,361600
2020-08-14,132.559998,132.889999,129.699997,131.350006,129.127213,328800
2020-08-17,135.300003,137.889999,135.259995,137.449997,135.123978,358600
2020-08-18,139.580002,140.199997,136.369995,139.839996,137.473526,617100
2020-08-19,139.380005,140.600006,137.059998,137.429993,135.104309,496600
2020-08-20,136.759995,140.130005,135.699997,139.339996,136.981995,338000
2020-08-21,137.320007,137.880005,135.839996,137.809998,135.477905,377800
2020-08-24,139.669998,140.300003,136.070007,136.190002,133.885300,370800
2020-08-25,135.500000,136.149994,133.369995,135.270004,132.980865,414600
2020-08-26,133.429993,136.949997,133.429993,136.789993,134.475143,359300
2020-08-27,138.279999,138.529999,133.750000,134.919998,132.636795,297000
2020-08-28,137.679993,137.679993,135.000000,135.440002,133.147995,321500
2020-08-31,135.479996,138.119995,135.130005,136.320007,134.013107,287100
2020-09-01,138.229996,138.229996,131.800003,133.169998,130.916412,346600
2020-09-02,132.000000,134.789993,130.029999,134.000000,131.732376,380900
2020-09-03,133.500000,135.440002,131.740005,133.979996,131.712692,327200
2020-09-04,133.539993,134.779999,128.289993,130.559998,128.350586,872900
2020-09-08,128.589996,131.440002,124.769997,128.570007,126.394264,419600
2020-09-09,129.740005,133.339996,129.740005,132.740005,130.493698,361700
2020-09-10,133.550003,134.500000,130.740005,130.759995,128.547195,336100
2020-09-11,131.690002,133.429993,130.050003,130.449997,128.242432,287600
2020-09-14,131.520004,131.770004,127.820000,130.949997,128.733963,602400
2020-09-15,132.179993,132.660004,129.059998,130.229996,128.026169,335500
2020-09-16,131.880005,132.190002,129.570007,130.610001,128.399734,371800
2020-09-17,127.589996,128.910004,126.500000,128.089996,125.922386,329900
2020-09-18,128.520004,129.589996,123.029999,123.470001,121.380562,973900
2020-09-21,119.260002,123.059998,119.260002,122.639999,120.564613,546500
2020-09-22,123.330002,124.669998,121.750000,123.209999,121.124962,347500
2020-09-23,121.800003,122.169998,115.720001,115.910004,113.948502,470100
2020-09-24,115.059998,120.809998,114.989998,119.529999,117.507233,419800
2020-09-25,117.949997,118.980003,116.970001,118.080002,116.081779,325700
2020-09-28,119.750000,120.519997,118.010002,119.199997,117.182823,282100
2020-09-29,119.739998,122.809998,119.709999,119.980003,117.949623,284200
2020-09-30,119.709999,120.750000,118.290001,120.169998,118.136398,374800
2020-10-01,120.570000,122.120003,119.120003,120.419998,118.658646,346600
2020-10-02,119.750000,120.629997,118.449997,119.400002,117.653580,341800
2020-10-05,119.790001,122.279999,119.110001,120.400002,118.638947,691000
2020-10-06,121.860001,122.099998,117.290001,117.300003,115.584297,335300
2020-10-07,118.570000,119.180000,116.779999,117.459999,115.741943,344800
2020-10-08,118.580002,119.739998,117.690002,118.769997,117.032791,319600
2020-10-09,121.010002,121.980003,119.120003,121.489998,119.712997,407900
2020-10-12,121.430000,124.150002,121.000000,123.300003,121.496529,307800
2020-10-13,122.050003,124.180000,121.000000,123.910004,122.097603,299500
2020-10-14,125.269997,126.400002,124.370003,124.760002,122.935173,243300
2020-10-15,122.639999,125.629997,122.269997,123.839996,122.028633,220500
2020-10-16,123.900002,124.349998,122.199997,122.470001,120.678665,242000
2020-10-19,123.239998,123.879997,119.160004,119.599998,117.850647,254600
2020-10-20,122.150002,122.150002,119.010002,121.199997,119.427238,259000
2020-10-21,122.010002,123.980003,121.089996,121.599998,119.821388,249300
2020-10-22,120.389999,122.089996,119.570000,121.779999,119.998764,316100
2020-10-23,121.190002,122.550003,120.379997,121.989998,120.205696,256700
2020-10-26,121.070000,122.489998,119.730003,120.190002,118.432022,188500
2020-10-27,120.099998,121.809998,119.150002,121.330002,119.555344,190200
2020-10-28,119.000000,119.000000,114.720001,116.620003,114.914230,534900
2020-10-29,114.870003,118.809998,114.870003,118.360001,116.628784,303600
2020-10-30,119.230003,120.980003,116.839996,118.809998,117.072197,343000
2020-11-02,120.410004,122.629997,119.290001,121.459999,119.683441,367700
2020-11-03,122.930000,123.129997,121.290001,121.690002,119.910080,230700
2020-11-04,122.330002,123.699997,120.150002,121.870003,120.087440,333700
2020-11-05,123.580002,126.639999,122.720001,122.930000,121.131943,711600
2020-11-06,125.040001,126.459999,123.930000,126.169998,124.324554,347600
2020-11-09,120.989998,124.320000,118.400002,120.400002,118.638947,520700
2020-11-10,121.360001,122.370003,116.980003,117.360001,115.643410,531900
2020-11-11,115.870003,117.959999,115.519997,116.750000,115.042343,414000
2020-11-12,117.029999,119.099998,116.379997,116.989998,115.278816,356900
2020-11-13,118.000000,119.580002,117.779999,118.690002,116.953957,221300
2020-11-16,118.290001,119.349998,117.489998,118.500000,116.766731,250700
2020-11-17,117.610001,119.290001,115.620003,115.839996,114.145645,303600
2020-11-18,116.250000,116.339996,111.949997,111.980003,110.342110,414300
2020-11-19,110.120003,111.239998,108.000000,109.830002,108.223557,437400
2020-11-20,111.620003,111.910004,109.449997,109.970001,108.361504,647500
2020-11-23,109.790001,111.059998,107.279999,109.599998,107.996910,503300
2020-11-24,106.180000,110.120003,106.180000,107.500000,105.927620,635800
2020-11-25,108.949997,110.809998,108.720001,109.500000,107.898369,431400
2020-11-27,107.589996,110.139999,107.500000,109.970001,108.361504,272900
2020-11-30,109.089996,110.580002,107.449997,110.470001,108.854187,509900
2020-12-01,112.559998,112.870003,109.599998,112.500000,110.854500,409000
2020-12-02,113.000000,113.389999,111.330002,111.949997,110.312538,307000
2020-12-03,111.739998,112.349998,109.419998,110.760002,109.139946,286900
2020-12-04,110.519997,111.339996,109.290001,110.269997,108.657104,303900
2020-12-07,110.000000,113.300003,109.980003,112.669998,111.022011,456800
2020-12-08,113.000000,113.339996,110.790001,112.680000,111.031868,386300
2020-12-09,112.089996,112.500000,109.580002,111.070000,109.445412,287600
2020-12-10,112.129997,112.589996,110.300003,110.440002,108.824631,249700
2020-12-11,110.309998,111.739998,109.120003,109.260002,107.661888,192100
2020-12-14,109.010002,109.769997,106.949997,107.110001,105.543335,497100
2020-12-15,108.580002,110.150002,108.470001,108.900002,107.307159,437500
2020-12-16,109.250000,110.730003,108.099998,110.430000,108.814774,563500
